numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
07954480000179-2-016551/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:45,2027-05-26T00:00:00,2026-05-26T00:00:00,LIMPEZA E CONSERVAÇÃO - EEMTI LICEU DE MESSEJANA -  (SEFOR 2),2500.0,2500.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016552/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:47,2027-05-26T00:00:00,2026-05-26T00:00:00,II AQUISIÇÃO - MATERIAL DE CONSUMO - GÊNEROS DE ALIMENTAÇÃO - CEJA PROFESSORA CECY CIALDINE - SOBRAL - CREDE 6 -,39402.0,39402.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016553/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:50,2027-05-25T00:00:00,2026-05-25T00:00:00,II AQUISIÇÃO - MATERIAL DE CONSUMO - GÊNEROS DE ALIMENTAÇÃO - CEJA PROFESSORA CECY CIALDINE - SOBRAL - CREDE 6 -,1620.0,1620.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016554/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:00,2026-12-12T00:00:00,2026-05-26T00:00:00,FESTIVIDADES E HOMENAGENS - EEEP PEDRO DE QUEIROZ LIMA - BEBERIBE - CREDE 9,4000.0,4000.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016555/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:10,2027-05-26T00:00:00,2026-05-26T00:00:00,GÊNEROS DE ALIMENTAÇÃO - EEMTI SENADOR OSIRES PONTES -  (SEFOR 3),48189.0,48189.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016556/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:13,2027-05-26T00:00:00,2026-05-26T00:00:00,FESTIVIDADES E HOMENAGENS - EEMTI JOÃO DE ARAÚJO CARNEIRO - QUIXERAMOBIM - CREDE 12,1800.0,1800.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016557/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:15,2027-05-26T00:00:00,2026-05-26T00:00:00,MATERIAL DE CONSUMO - GÊNEROS DE ALIMENTAÇÃO - EEMTI LÍDIA BEZERRA - SABOEIRO - CREDE 18.,2120.0,2120.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016558/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:18,2027-05-26T00:00:00,2026-05-26T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - INCISO l,32199.0,32199.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016559/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:56,2027-05-26T00:00:00,2026-05-26T00:00:00,GÁS E OUTROS MATERIAIS ENGARRAFADOS - EEMTI NOEL HUGNEN DE OLIVEIRA PAIVA - (SEFOR 2),7560.0,7560.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016561/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:01,2027-05-06T00:00:00,2026-05-12T00:00:00,FESTIVIDADES E HOMENAGENS - EEM LAURO REBOUÇAS DE OLIVEIRA - LIMOEIRO DO NORTE - CREDE 10,12850.0,12850.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016560/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:02:58,2027-05-26T00:00:00,2026-05-26T00:00:00,"SOLICITAÇÃO PARA AQUISIÇÃO DE MATERIAL ODONTOLÓGICO POR MEIO DE DISPENSA DE LICITAÇÃO POR UM PERÍODO DE 12 (DOZE) MESES - ITEM: ALGINATO, PRESA RAPIDA, BAIXO ESCOAMENTO, ALTA FIDELIDADE DE COPIA, EXCELENTE ELASTICIDADE, LIVRE DE POEIRA, TIXOTROPICO, COR E ODOR AGRADAVEL.",53280.0,53280.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016562/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:06,2027-05-12T00:00:00,2026-05-13T00:00:00,SERVIÇOS TÉCNICOS E PROFISSIONAIS - EEMTI WILSON GONÇALVES - CRATO - CREDE 18 -,70.0,70.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016563/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:10,2027-05-05T00:00:00,2026-05-11T00:00:00,GÊNEROS DE ALIMENTAÇÃO - EEMTI PROFESSOR MIGUEL PORFÍRIO DE LIMA  - ICO  - CREDE 17,10510.3,10510.3,07954480000179,ESTADO DO CEARA
07954480000179-2-016564/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:13,2027-05-25T00:00:00,2026-05-25T00:00:00,Gêneros de Alimentação - ESCOLA INDÍGENA TREMEMBÉ JOVENTINO GABRIEL FÉLIX - ITAREMA - CREDE 3.,516.81,516.81,07954480000179,ESTADO DO CEARA
07954480000179-2-016565/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:15,2027-05-10T00:00:00,2026-05-11T00:00:00,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA - EEMTI JUVÊNCIO BARRETO - CRATO - CREDE 18,22720.5,22720.5,07954480000179,ESTADO DO CEARA
07954480000179-2-016566/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:36,2027-05-20T00:00:00,2026-05-25T00:00:00,"COTAÇÃO ELETRONICA Nº 04/2026 SERVIÇOS DE TERCEIROS - FESTIVIDADES E HOMENAGENS, DESTINADO A MANUTENÇÃO DA EEM FRANCISCO NONATO FREIRE - ALTO SANTO - CREDE 10 -",4495.0,4495.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016568/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:43,2027-05-20T00:00:00,2026-05-25T00:00:00,GÁS E OUTROS MATERIAIS ENGARRAFADOS  - EEEP JAIME DA CUNHA REBOUÇAS - ICAPUI - CREDE 10,1244.75,1244.75,07954480000179,ESTADO DO CEARA
