numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
07954480000179-2-016605/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:12,2027-05-25T00:00:00,2026-05-25T00:00:00,LIMPEZA E CONSERVAÇÃO - EEMTI LUIZ GONZAGA DE ALCÂNTARA - TARRAFAS - CREDE 18,1696.0,1696.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016606/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:15,2026-11-22T00:00:00,2026-05-26T00:00:00,GÊNEROS DE ALIMENTAÇÃO - EEMTI JOÃO BARBOSA LIMA - TAICABA - CREDE 10,4308.0,4308.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016607/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:17,2027-05-26T00:00:00,2026-05-26T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - EEMTI VEREADORA EDIMAR MARTINS DA CUNHA - ITAPIUNA - CREDE 8,11844.0,11844.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016608/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:19,2027-05-25T00:00:00,2026-05-25T00:00:00,Serviço de Terceiros - Serviço de Contabilidade - EEMTI GERARDO MAJELLA MELLO MOURÃO - IPUEIRAS - CREDE 13 -,449.99,449.99,07954480000179,ESTADO DO CEARA
07954480000179-2-016610/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:26,2027-03-02T00:00:00,2026-05-07T00:00:00,GÊNEROS DE ALIMENTAÇÃO - EEMTI ANTONIO VIDAL MALVEIRA - TABULEIRO DO NORTE - CREDE 10,17975.0,17975.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016611/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:29,2027-05-25T00:00:00,2026-05-25T00:00:00,MANUTENÇÃO DE MAQUINAS E EQUIPMENTOS - EEMTI PROFESSORA MARIA LUIZA SABOIA RIBEIRO - PARACURU - CREDE 2,6110.0,6110.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016612/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:32,2027-05-25T00:00:00,2026-05-25T00:00:00,"Aquisição de LIQUIDIFICADOR, para atender à rede pública
estadual da Secretaria da Educação do Estado do Ceará.",22197.0,22197.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016613/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:02,2027-05-25T00:00:00,2026-05-25T00:00:00,FESTIVIDADES E HOMENAGENS - CENTRO DE REFERÊNCIA EM EDUCAÇÃO E ATENDIMENTO ESPECIALIZADO DO CEARÁ - CREAECE - FORTALEZA - (SEFOR 3),11775.0,11775.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016614/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:06,2027-05-20T00:00:00,2026-05-25T00:00:00,AQUISIÇÃO DE MATERIAL PARA FESTIVIDADES E HOMENAGENS - FORTALEZA - SEFOR 1.,47420.0,47420.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016615/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:10,2027-05-26T00:00:00,2026-05-26T00:00:00,Aquisição de Estetoscópio Adulto para Hospital Regional de Crateús - HRCRA.,1119.38,1119.38,07954480000179,ESTADO DO CEARA
07954480000179-2-016616/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:14,2027-05-26T00:00:00,2026-05-26T00:00:00,Gêneros Alimentação - ESCOLA INDÍGENA TREMEMBÉ JOVENTINO GABRIEL FÉLIX - ITAREMA - CREDE 3.,1251.6,1251.6,07954480000179,ESTADO DO CEARA
07954480000179-2-016617/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:15,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS GRÁFICOS - EEMTI WILSON GONÇALVES - CRATO - CREDE 18,519.95,519.95,07954480000179,ESTADO DO CEARA
07954480000179-2-016618/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:47,2027-05-25T00:00:00,2026-05-25T00:00:00,MATERIAL DE CONSUMO - GÊNEROS DE ALIMEMNTAÇÃO PARA A EEMTI LÍDIA BEZERRA - CREDE 18,3969.5,3969.5,07954480000179,ESTADO DO CEARA
07954480000179-2-016619/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:50,2027-05-11T00:00:00,2026-05-12T00:00:00,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA - EEMTI SÃO SEBASTIÃO - APUIARES - CREDE 2,149.0,149.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016620/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:09:54,2027-05-21T00:00:00,2026-05-26T00:00:00,GÁS E OUTROS MATERIAIS ENGARRAFADOS - EEMTI DEPUTADO PAULINO ROCHA - SEFOR 2,11780.0,11780.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016621/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:00,2027-05-26T00:00:00,2026-05-26T00:00:00,"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (FILTRO HIDROFÓBICO/HIGROSCÓPICO ¿ TIPO HMEF e FILTRO BACTERIANO/VIRAL TIPO HEPA), POR UM PERÍODO DE 12 (DOZE) MESES, PARA ATENDER ÀS NECESSIDADES DO HOSPITAL GERAL DE FORTALEZA (HGF), VINCULADO À SECRETARIA DA SAÚDE DO ESTADO DO CEARÁ (SESA).",31200.0,31200.0,07954480000179,ESTADO DO CEARA
02585924000122-2-003757/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:01,2026-11-20T00:00:00,2026-05-22T00:00:00,"O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Alimentação Escolar – PNAE, no(a) EE PROF. ANTÔNIO PINTO PEREIRA, município de JARDIM / MS, conforme especificações e quantitativos estabelecidos no Termo de Referência e na Proposta de Preços.",4379.0,4379.0,02585924000122,SECRETARIA DE ESTADO DE EDUCACAO DE MATO GROSSO DO SUL
07954480000179-2-016622/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:03,2027-05-08T00:00:00,2026-05-14T00:00:00,SERVIÇOS DE TERCEIROS - MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - EEEP DOUTOR JOSÉ IRAN COSTA - CREDE 17.,25236.74,25236.74,07954480000179,ESTADO DO CEARA
07954480000179-2-016623/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:09,2027-05-26T00:00:00,2026-05-26T00:00:00,GÁS E OUTROS MATERIAIS ENGARRAFADOS - EEMTI RAIMUNDO NONATO CARLOS DOS SANTOS - BEBERIBE - CREDE 9,10080.0,10080.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016624/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:11,2027-05-07T00:00:00,2026-05-08T00:00:00,GÁS E OUTROS MATERIAIS ENGARRAFADOS - ESCOLA INDÍGENA ALTO DA CATINGUEIRA - TAMBORIL - CREDE 13,5040.0,5040.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016625/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:10:36,2027-05-21T00:00:00,2026-05-26T00:00:00,FORNECIMENTO DE ALIMENTAÇÃO - SEFOR 1,29040.4,29040.4,07954480000179,ESTADO DO CEARA
13676986000166-2-000019/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:50:18,2026-11-05T00:00:00,2026-05-06T00:00:00,"Contratação de empresa especializada em engenharia elétrica, devidamente habilitada e com registro ativo no CREA, para elaboração de projetos técnicos de engenharia elétrica destinados ao Parque de Exposições Agropecuárias Prefeito Adauto Prates, no Município de Ibiassucê - BA, compreendendo projeto elétrico completo de baixa e média tensão e projeto de subestação de energia.",11000.0,11000.0,13676986000166,MUNICIPIO DE IBIASSUCE
94703964000140-2-000093/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T02:18:10,2026-06-11T00:00:00,2026-05-22T00:00:00,PNEUS,6920.0,6920.0,94703964000140,MUNICIPIO DE GRAMADO DOS LOUREIROS
94703964000140-2-000094/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T02:18:10,2026-06-11T00:00:00,2026-05-22T00:00:00,PNEUS,14509.44,14509.44,94703964000140,MUNICIPIO DE GRAMADO DOS LOUREIROS
87502886000150-2-000125/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T03:13:04,2026-06-06T00:00:00,2026-05-22T00:00:00,"Aquisição de material de higiene e limpeza, a fim de atender às demandas dos municípios consorciados ao CP – CISGA, conforme condições e exigências estabelecidas neste instrumento.",348.24,348.24,87502886000150,MUNICIPIO DE PARAI
87502886000150-2-000126/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T03:13:05,2026-06-06T00:00:00,2026-05-22T00:00:00,"Aquisição de INSUMOS, MEDICAMENTOS DE USO HUMANO, KIT DE TESTES RÁPIDOS (kit teste rápido combo antígeno SARS-COV2 e INFLUENZA A+B) e KIT DE TESTES RÁPIDOS para detecção do antígeno ns1 dos quatro sorotipos do VÍRUS DA DENGUE (FLAVIVÍRUS 1, 2, 3 e 4), através do sistema de Registro de Preços, para atender às demandas das secretarias de saúde dos municípios consorciados ao CP – CISGA",15360.0,15360.0,87502886000150,MUNICIPIO DE PARAI
